lat,lon,store
-6.93653,107.61988,B361
-6.42907,106.95894,E935
-7.32799,107.79439,B699
-2.99986,120.1979,R378
-6.19251,106.81805,J208
-0.26412,109.36307,1PT8
-7.16047,108.00737,B781
-5.48281,104.54669,L109
-6.13147,105.86508,T935
-4.80263,105.22337,1VB8
-6.96866,109.07087,V582
-6.23979,106.66258,AB67
-6.44692,106.86668,X715
-7.02762,106.94714,2J22
-6.38402,106.84684,X357
-8.28321,112.97407,Y376
-6.22336,106.84915,1MD4
-7.16919,107.89549,B398
-6.95578,107.75497,B300
-6.1935,106.95759,J072
-7.65981,109.7073,I186
-7.61254,109.40723,I268
-6.21163,106.87877,J001
-7.30513,109.37621,I222
-7.38803,109.20117,I231
-7.69468,109.69728,I233
-7.33531,108.68597,I236
-7.21622,107.92567,B487
-6.96163,107.79225,B490
-6.73841,108.01043,B493
-6.29964,107.16641,C028
-6.93442,107.71826,B511
-7.1547,108.1474,B525
-6.27309,107.00845,C019
-7.62173,108.10465,B530
-7.19143,107.88653,B548
-7.3041,108.24345,B559
-6.89468,107.6437,B564
-6.91037,107.68966,B570
-5.73606,105.59113,L010
-6.12798,106.89911,J226
-6.11515,106.88995,J227
-6.12168,106.9133,J232
-5.10499,105.29892,L028
-5.10539,105.33303,L026
-5.03904,105.27529,L025
-5.09904,105.18989,L178
-6.15022,106.8673,J492
-6.25885,106.87869,J495
-6.21371,106.86137,J327
-4.94745,105.15462,L190
-6.2226,106.94206,J385
-6.21023,106.93861,J389
-5.19224,105.17723,L094
-5.59521,105.51481,L048
-4.97918,105.32565,L054
-5.47978,104.92863,L081
-6.21248,106.89774,J127
-5.10487,105.65835,L086
-4.97214,105.44249,L093
-4.79895,105.0101,L161
-5.31357,105.19593,L168
-6.18763,106.89684,J147
-5.01974,104.1091,L173
-5.46922,105.32212,L009
-5.31119,105.74395,L060
-5.31377,105.28652,L062
-4.85401,104.92025,L066
-5.18721,105.31605,L067
-5.16138,105.50868,L113
-6.15591,106.73101,K191
-6.2056,106.85134,J182
-6.17638,106.84457,J194
-6.20591,106.6283,K427
-5.13989,105.03664,L156
-5.41415,104.9384,L073
-5.13537,105.46764,L075
-6.97096,109.87384,H274
-7.38184,109.359,I034
-7.72115,109.73735,I039
-7.43068,109.256,I151
-7.10432,109.91586,H370
-7.63033,109.56989,I029
-7.38482,109.33373,I115
-7.10407,110.27219,H103
-7.37907,109.38459,I134
-7.68412,109.50819,I135
-6.97825,110.39081,H115
-6.70471,111.34669,H171
-7.22216,110.36728,H172
-7.18158,110.42454,H176
-7.08831,110.30771,H236
-7.12394,111.12729,H240
-6.15333,106.80798,K249
-7.67552,109.6606,I075
-6.91421,109.65972,H003
-6.17704,106.9044,J270
-6.98784,110.38268,H006
-7.00064,110.42562,H264
-7.29881,108.76451,I083
-7.39894,109.35055,I013
-6.69261,110.70696,H214
-7.14087,111.5971,H346
-6.9497,107.61,B201
-6.91797,107.66266,B071
-7.09556,110.91331,H064
-6.74969,110.72439,H062
-4.01506,119.6223,R103
-6.30991,107.02279,C482
-7.62339,111.48775,O270
-6.9291,107.67979,B621
-6.0766,106.5876,T234
-6.30431,107.56717,C485
-6.0998,106.56042,T303
-6.98647,110.36668,H421
-6.72704,105.87215,T457
-6.40427,107.45883,C081
-8.21763,111.32084,O287
-7.74,109.54213,I286
-7.60575,109.44071,I307
-6.22486,106.20725,T493
-6.29161,106.74372,AA02
-6.11561,106.23205,T005
-6.36365,107.53905,C961
-6.28535,106.70095,AA09
-6.88779,110.99093,H445
-6.23012,106.55952,T059
-6.70973,107.50174,C498
-5.92809,105.99643,T387
-7.7742,110.41356,O181
-6.36315,106.23272,T533
-6.29726,107.29758,C716
-6.47236,106.88833,E026
-6.23667,106.51039,T069
-5.19792,105.76923,L299
-6.24982,106.75676,K687
-6.25438,106.73748,A053
-6.27886,106.66971,A056
-6.22022,106.60164,T285
-6.22208,106.64568,AB17
-6.03343,106.38048,T024
-7.84037,110.31328,O198
-7.60516,111.89732,M473
-5.10336,119.5103,R071
-6.13368,106.92111,J566
-6.33977,107.24851,C502
-6.17271,107.18072,C508
-4.91186,104.66131,L260
-4.74636,105.54606,L262
-7.56147,112.23553,M227
-6.19726,107.17455,C783
-8.6354,115.20693,Q049
-7.49065,110.21397,O174
-6.80913,107.14857,N239
-6.22481,107.02035,C598
-8.17821,112.63879,M231
-5.18706,119.4319,R017
-7.96086,112.71859,M004
-7.6844,110.8491,O084
-6.32929,107.2831,C137
-7.56704,110.77997,O014
-7.55403,110.73987,O012
-7.60283,112.10333,M119
-7.42464,109.21253,I155
-7.42449,109.2511,I162
-6.56017,107.77514,N110
-7.52082,110.98808,O075
-6.85028,107.12998,N140
-7.94752,112.74662,M320
-8.1654,112.69288,M324
-8.08728,112.63686,M122
-7.53908,112.27688,M187
-7.42826,111.01645,O076
-6.93853,107.75426,B042
-7.69191,112.27063,M182
-7.96215,112.63049,M020
-7.98928,112.63864,M026
-7.75299,110.44844,O001
-6.2589,107.07241,C614
